N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
100,2,0.3,mixed,0.2,0.6,0.13769762720180143,0.08470387550645067,0.06666666666666676,2,30,0.0455655891325533,0.02975060062023291,-0.033333333333333215,2,26,-0.09213203806924813,-0.05495327488621776,-0.03333333333333355,7
100,2,0.3,mixed,0.2,0.6,219.45120752449918,109.72946322137112,1.1102230246251565e-16,2,28,43.86761225438922,21.953435208985564,1.1102230246251565e-16,2,32,-175.58359527010995,-87.77602801238555,0.0,8
100,2,0.3,mixed,0.2,0.6,0.06038684403235037,0.05649443582238044,-0.13333333333333325,2,27,0.09025101830268432,0.07597952947811176,1.1102230246251565e-16,2,28,0.029864174270333957,0.019485093655731325,-0.13333333333333314,9
100,2,0.7,mixed,0.0,0.6,0.13029798975308923,0.06769101715922957,0.02857142857142858,2,67,0.06132051882712927,0.031639295510163964,-0.014285714285714235,2,65,-0.06897747092595996,-0.0360517216490656,-0.014285714285714346,0
100,2,0.7,mixed,0.0,0.6,0.024549261718939185,0.012639381409478796,0.014285714285714235,2,72,0.17925145380013022,0.09849424156572807,1.1102230246251565e-16,2,75,0.15470219208119104,0.08585486015624927,-0.014285714285714124,1
100,2,0.7,mixed,0.0,0.6,0.15175757831948522,0.0784435225308555,-0.014285714285714124,2,70,0.09180618529677803,0.04649815143997255,0.02857142857142858,2,67,-0.05995139302270719,-0.03194537109088295,0.014285714285714457,2
100,2,0.7,mixed,0.0,0.6,0.2515725642056474,0.14002567145648961,-0.042857142857142705,2,68,0.03660473088659182,0.02524770168206402,1.1102230246251565e-16,2,71,-0.21496783331905556,-0.11477796977442559,-0.042857142857142594,3
100,2,0.7,mixed,0.0,0.6,0.8011857956621773,0.41198796492851814,0.02857142857142858,2,72,0.9447130991153051,0.4870470765970587,-0.02857142857142847,2,71,0.1435273034531278,0.07505911166854057,-1.1102230246251565e-16,4
100,2,0.7,mixed,0.0,0.6,0.11065697761256987,0.07922495871496686,-0.014285714285714124,2,71,0.07015941530809484,0.03907967977236669,0.014285714285714346,2,68,-0.04049756230447503,-0.04014527894260017,2.220446049250313e-16,5
100,2,0.7,mixed,0.0,0.6,1.6167923974393108,0.816037119938998,0.042857142857142816,2,72,0.8840497290949931,0.4463262955682571,0.02857142857142858,2,68,-0.7327426683443177,-0.3697108243707409,-0.014285714285714235,6
100,2,0.7,mixed,0.0,0.6,0.014128473711031903,0.010107415633598026,0.0,2,75,0.16175105868983108,0.08789252304511937,0.02857142857142858,2,72,0.14762258497879918,0.07778510741152134,0.02857142857142858,7
100,2,0.7,mixed,0.0,0.6,0.02103960757956178,0.01380032572612632,0.0,2,72,0.24384118281105258,0.12200329719638123,0.042857142857142816,2,72,0.2228015752314908,0.10820297147025491,0.042857142857142816,8
100,2,0.7,mixed,0.0,0.6,0.032616923805570235,0.01648921257630442,-0.02857142857142847,2,69,0.10781121722853487,0.05649976790771873,0.05714285714285727,2,73,0.07519429342296463,0.040010555331414316,0.028571428571428803,9
100,2,0.7,mixed,0.2,0.6,0.18421317497213813,0.09289841664127901,-0.042857142857142705,2,68,0.061549800387674033,0.04286167680899585,0.0,2,73,-0.1226633745844641,-0.05003673983228316,-0.042857142857142705,0
100,2,0.7,mixed,0.2,0.6,0.03154086710888417,0.02316655567396246,-0.02857142857142847,2,66,0.05094238754531845,0.045163030084131445,0.0714285714285714,2,72,0.019401520436434276,0.021996474410168984,0.04285714285714293,1
100,2,0.7,mixed,0.2,0.6,0.31842967234068525,0.1597415598895375,0.014285714285714346,2,67,0.16446837261468147,0.08493111950243973,0.05714285714285727,2,77,-0.15396129972600378,-0.07481044038709778,0.04285714285714293,2
100,2,0.7,mixed,0.2,0.6,0.0051844050939382665,0.0026704242916365615,0.04285714285714293,2,71,0.11832905876806922,0.06347012380279618,0.02857142857142858,2,72,0.11314465367413096,0.06079969951115962,-0.014285714285714346,3
100,2,0.7,mixed,0.2,0.6,0.02158507902791489,0.020015609723875276,1.1102230246251565e-16,2,74,0.08583785598793582,0.06699328484409688,-0.014285714285714235,2,74,0.06425277696002094,0.0469776751202216,0.014285714285714124,4
100,2,0.7,mixed,0.2,0.6,0.12201298129117392,0.06137781607153944,-0.042857142857142816,2,67,0.022841480015130356,0.015175209078360969,-0.05714285714285716,2,69,-0.09917150127604357,-0.04620260699317848,0.014285714285714346,5
100,2,0.7,mixed,0.2,0.6,0.1688059815177159,0.09512368038767466,-0.04285714285714293,2,64,0.26829389092191075,0.13795062338421066,1.1102230246251565e-16,2,71,0.09948790940419486,0.042826942996536,-0.042857142857142816,6
100,2,0.7,mixed,0.2,0.6,0.10620506248136453,0.06905855860264143,-0.014285714285714235,2,72,0.034045519012564675,0.024022476690414366,-0.014285714285714235,2,72,-0.07215954346879985,-0.04503608191222706,0.0,7
100,2,0.7,mixed,0.2,0.6,0.12182227968637963,0.06354307866324214,-0.02857142857142858,2,72,0.3938346314218312,0.2008056400728239,0.02857142857142858,2,69,0.2720123517354516,0.13726256140958176,0.0,8
100,2,0.7,mixed,0.2,0.6,0.03116024389277578,0.024088588488268326,0.05714285714285727,2,69,0.012563613981880826,0.008164851733409858,0.014285714285714346,2,69,-0.018596629910894953,-0.015923736754858468,-0.04285714285714293,9
